COD	Lat      Lon            Alt     Nombre
BENV	9.9623	-67.5988	666	BELEN
FUNV	10.4692	-66.8102	903	FUNVISIS
TACV    10.1382 -67.0267	546	TACATA
TERV	9.9637	-69.1917	470	TEREPAIMA
SDV	8.8862	-70.6333	2580	SANTODOMINGO
TRN	10.648	-61.403		24	TRINIDAD
GRGR	12.1323	-61.654		195	GRENADA
BBGH	13.1357	-59.55		180	BBGH
XCAR    10.4993 -63.5472  	14	CARIACO

